Reference Airport Code,Traffic Level,Country,United,American,Taca,Delta,Alaska,Korean (on Korean),Korean (on Skyteam),ANA,Singapore,Virgin Atlantic (on DL),Air France,Lufthansa/Miles&More,Alitalia,Aeromexico,Air Canada,,,
BDA,Low,Bermuda,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,,Central America,"South, Latin America","Hawaii, Central America","Caribbean, Mexico & Central America","Central America, Caribbean, Hawaii, Bermuda",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Central America & Caribbean,Caribbean & Central America,,"BDA,",14
PBH,Very Low,Bhutan,South Asia,Asia Region 2,South Asia,South Asian Subcontinent,Rest of Asia,,Asia 3,Asia 2,,,Indian Subcontinent,India,,,,,"PBH,",9
LPB,Low,Bolivia,Southern South America,South America Region 2,South of South America,Northern South America,South America,,South America,"South, Latin America",South America,,Latin America 2,South America,South America 2,South South America,Southern South America,,"LPB,",13
BON,Low,Bonaire,Caribbean,Caribbean,,Caribbean,Caribbean,,Central America,"South, Latin America","Hawaii, Central America","Caribbean, Mexico & Central America","North America, Aruba, Bonaire, Curacao, Suriname",,,,,,"BON,",9
SJJ,Very Low,Bosnia-Herzegovina,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,,Europe 3 + North Africa,Europe,Europe 1 & North Africa 1,Europe,Europe 2,,"SJJ,",13
GBE,Low,Botswana,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East","Central, South Africa",,,Southern Africa,,Africa,"East, West and South Africa",,"GBE,",11
CNF,Medium,Brazil - Belo Horizonte,Southern South America,South America Region 2,Brazil,Southern South America,Deep South America,,South America,"South, Latin America",South America,,Latin America 2,South America,South America 2,South South America,Southern South America,,"CNF,",13
BSB,Medium,Brazil - Brasilia,Southern South America,South America Region 2,Brazil,Southern South America,Deep South America,,South America,"South, Latin America",South America,South America,Latin America 2,South America,South America 2,South South America,Southern South America,,"BSB,",14
VCP,Medium,Brazil - Campinas-Viracopos,Southern South America,South America Region 2,Brazil,Southern South America,Deep South America,,South America,"South, Latin America",South America,,Latin America 2,South America,South America 2,South South America,Southern South America,,"VCP,",13
POA,Medium,Brazil - Porto Alegre,Southern South America,South America Region 2,Brazil,Southern South America,Deep South America,,South America,"South, Latin America",South America,,Latin America 2,South America,South America 2,South South America,Southern South America,,"POA,",13
